,State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
223,Maine,Aroostook,1980,361,127,84,101,49,0,0,200,163,85,0,0,29,332,0,0
231,Maine,Aroostook,1981,365,120,73,130,42,0,0,200,156,95,0,0,42,323,0,0
226,Maine,Aroostook,1982,365,122,90,124,29,0,0,200,145,85,0,0,0,365,0,0
238,Maine,Aroostook,1983,365,156,103,89,17,0,0,200,129,57,0,0,0,349,0,16
208,Maine,Aroostook,1984,366,150,115,92,9,0,0,185,121,61,0,0,0,329,0,37
226,Maine,Aroostook,1985,365,172,107,85,1,0,0,162,114,53,0,0,0,272,0,93
239,Maine,Aroostook,1986,365,133,120,108,4,0,0,179,123,69,0,0,0,293,0,72
257,Maine,Aroostook,1987,361,185,78,88,10,0,0,200,123,48,0,0,0,197,0,164
279,Maine,Aroostook,1988,302,199,75,27,1,0,0,181,96,36,0,0,0,124,0,178
312,Maine,Aroostook,1989,365,202,100,58,5,0,0,181,114,46,0,0,46,239,0,80
332,Maine,Aroostook,1990,365,186,139,38,2,0,0,166,102,50,0,0,125,190,0,50
350,Maine,Aroostook,1991,365,142,154,66,3,0,0,189,109,61,0,0,107,244,0,14
359,Maine,Aroostook,1992,366,173,128,60,5,0,0,193,112,52,0,0,134,207,0,25
353,Maine,Aroostook,1993,365,179,118,66,2,0,0,200,109,54,0,0,123,219,0,23
361,Maine,Aroostook,1994,365,196,130,36,3,0,0,170,101,47,0,0,148,198,0,19
375,Maine,Aroostook,1995,365,174,141,47,3,0,0,200,105,52,0,0,90,247,0,28
384,Maine,Aroostook,1996,366,205,128,32,1,0,0,160,99,46,0,0,93,219,0,54
394,Maine,Aroostook,1997,365,247,89,29,0,0,0,142,92,40,0,0,188,161,0,16
